m,n,k,distribution,Intra,Inter,Borda,Copeland,Sum,"Approval (t=0.1, penalty=1)","Approval (t=0.1, penalty=0)","Approval (t=0.3, penalty=1)","Approval (t=0.3, penalty=0)","Approval (t=0.5, penalty=1)","Approval (t=0.5, penalty=0)","Approval (t=0.7, penalty=1)","Approval (t=0.7, penalty=0)","Approval (t=0.9, penalty=1)","Approval (t=0.9, penalty=0)"
8,10,5,normal,0.1,0.05,0.0023107142857142866,0.0022000000000000027,0.0008000000000000153,0.11827500000000207,0.03367857142857044,0.4960982142857144,0.004925,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,normal,0.1,0.1,5.357142857153948e-05,5.357142857153948e-05,1.4285714285825279e-05,0.17496607142857962,0.036521428571428934,0.19217499999999013,0.027999999999999255,0.45403928571428753,0.030871428571428584,0.5,0.0,0.5,0.0
8,10,5,normal,0.1,0.15,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.23213035714285507,0.03586428571428584,0.11096250000000102,0.0315928571428563,0.22965892857142362,0.030882142857142407,0.41490535714285953,0.03935714285714292,0.49845,0.0031
8,10,5,normal,0.1,0.2,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.25988392857144593,0.022146428571428085,0.12426607142857711,0.038774999999998526,0.1386410714285767,0.024407142857142256,0.25012500000000437,0.032496428571428364,0.3924714285714327,0.041428571428571544
8,10,5,normal,0.1,0.25,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.2808357142857434,0.01974642857142844,0.14700535714286217,0.03877499999999943,0.11010357142857317,0.03155357142857074,0.1686785714285673,0.025921428571427804,0.2612178571428654,0.03172142857142838
8,10,5,normal,0.1,0.3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.3117910714285985,0.025728571428571642,0.17656785714286646,0.035907142857143484,0.10909642857143104,0.03241071428571376,0.1283714285714335,0.02582857142857089,0.19040357142855785,0.026539285714284985
8,10,5,normal,0.15,0.0,0.09324642857143067,0.1035392857142878,0.04503571428571378,0.499925,4.2857142857142856e-05,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,normal,0.15,0.05,0.006317857142857053,0.0061785714285713415,0.0022750000000000075,0.12304285714285888,0.038232142857141674,0.4933107142857145,0.007425,0.5,0.0,0.5,0.0,0.5,0.0
8,10,5,normal,0.15,0.1,0.0010857142857142984,0.001078571428571441,0.00022857142857148261,0.17491607142857846,0.03894642857142888,0.19366249999999366,0.030024999999999347,0.45170357142857265,0.031217857142857155,0.4999625,5e-05,0.5,0.0
8,10,5,normal,0.15,0.15,5.357142857153949e-05,5.357142857153949e-05,3.21428571429681e-05,0.22876964285713938,0.03296428571428564,0.11265892857143028,0.03209642857142779,0.22976428571428123,0.031210714285713755,0.41501785714285916,0.04032857142857149,0.4980107142857143,0.003625
